business_id,name,schools,open,category,subcategory,is_vegetarian,review_count,stars,neighborhoods,url,photo_url,city,state,latitude,longitude,is_popular
_9idMQKPPJgdENns5Fl6tg,Keg Steakhouse & Bar,University of Waterloo,yes,Steakhouses,American,no,6,3,University of Waterloo,http://www.yelp.ca/biz/keg-steakhouse-and-bar-waterloo,http://s3-media3.ak.yelpcdn.com/bphoto/LysmCdxy9EFcf-994VQ81Q/ms.jpg,Waterloo,ON,43.5029616,-80.5302892,0
_9ZZv5V-uM5BXx3P-HslIw,Russell House Tavern,Massachusetts Institute of Technology,yes,Gastropubs,American,no,600,4,Harvard Square,http://www.yelp.com/biz/russell-house-tavern-cambridge,http://s3-media2.ak.yelpcdn.com/bphoto/l5OyY1eGOncxTYfGwBiQ2g/ms.jpg,Cambridge,MA,42.3731053,-71.1195868,0
_a6jhRFIgOe74U73T5B-Ww,Fiesta Cafe,University of Illinois - Urbana-Champaign,yes,Restaurant,Mexican,no,22,3.5,University of Illinois - Urbana-Champaign,http://www.yelp.com/biz/fiesta-cafe-champaign,http://s3-media4.ak.yelpcdn.com/bphoto/eCakqSWly0QmTU7-o7OE5A/ms.jpg,Champaign,IL,40.1147965,-88.2384795,1
_AoDX3SxUb44yIDTBjtzzA,Saigon Tokyo,Carnegie Mellon University,yes,Restaurant,Vietnamese,no,2,2,Oakland,http://www.yelp.com/biz/saigon-tokyo-pittsburgh,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Pittsburgh,PA,40.4390804,-79.9553126,0
_bSPl_lu2S0ySfkwfEf97g,Jack In The Box,University of Southern California,yes,Diners,American,no,2,3,South Los Angeles,http://www.yelp.com/biz/jack-in-the-box-los-angeles-40,http://s3-media2.ak.yelpcdn.com/bphoto/3-rihmjIj_77-VW5xq4SYw/ms.jpg,Los Angeles,CA,34.033398,-118.291905,0
_CM6h878E6KROsy30kRXfA,Lotus Garden,Princeton University,yes,Restaurant,Chinese,no,24,3,Princeton University,http://www.yelp.com/biz/lotus-garden-plainsboro,http://s3-media4.ak.yelpcdn.com/bphoto/UbGsM6NkqoxZ3Ha01CiNZg/ms.jpg,Plainsboro,NJ,40.33731,-74.5921989,0
_DPEAIvsH92phbwh2W-ADA,UniCaf\u00e9,Columbia University,yes,Restaurant,Italian,no,13,2.5,Morningside Heights,http://www.yelp.com/biz/unicaf%C3%A9-manhattan-2,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Manhattan,NY,40.8071249,-73.9644045,0
_e9wgMUWkkx_vrFt8Ym6SA,Route 9 Diner,University of Massachusetts - Amherst,yes,Diners,American,no,40,3.5,University of Massachusetts - Amherst,http://www.yelp.com/biz/route-9-diner-hadley,http://s3-media3.ak.yelpcdn.com/bphoto/o_gmiYIV0oDs-K8dCAOarw/ms.jpg,Hadley,MA,42.3651651,-72.536654,0
_eDNXSw7pGbI6VkgsePuqA,Shalimar Restaurant,Rensselaer Polytechnic Institute,yes,Restaurant,Indian,no,35,3.5,Rensselaer Polytechnic Institute,http://www.yelp.com/biz/shalimar-restaurant-troy,http://s3-media3.ak.yelpcdn.com/bphoto/hWlEUKE0TtW8M964lVCWKw/ms.jpg,Troy,NY,42.732293,-73.688473,0
_ewEvGkaCtNMzhqgg7STLA,The Stand,University of California - Los Angeles,yes,Diners,American,no,220,3.5,Westwood,http://www.yelp.com/biz/the-stand-los-angeles-5,http://s3-media4.ak.yelpcdn.com/bphoto/it4Zxxcvns4KW11NgtZECw/ms.jpg,Los Angeles,CA,34.060387,-118.444907,0
_Fcc8TK1sFQwRMLFLiPk-Q,Rolando's,University of Massachusetts - Amherst,no,Restaurant,American,no,4,3.5,University of Massachusetts - Amherst,http://www.yelp.com/biz/rolandos-amherst,http://s3-media4.ak.yelpcdn.com/bphoto/tM8w7G8TyZwdpC2UqJwPVQ/ms.jpg,Amherst,MA,42.3761203,-72.519839,0
_fD2ef-iPSs1rF-o1j0rOg,2 Dogs Coffee Co & Internet Cafe,California Polytechnic State University,no,Cafes,Beverages,no,2,2,California Polytechnic State University,http://www.yelp.com/biz/2-dogs-coffee-co-and-internet-cafe-san-luis-obispo,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,San Luis Obispo,CA,35.2819505,-120.6609805,0
