business_id,name,schools,open,category,subcategory,is_vegetarian,review_count,stars,neighborhoods,url,photo_url,city,state,latitude,longitude
rKs40LPiZH9mDGixhfnvQA,Bruin Cafe,University of California - Los Angeles,yes,Delis,American,no,25,3.5,Westwood,http://www.yelp.com/biz/bruin-cafe-los-angeles,http://s3-media3.ak.yelpcdn.com/bphoto/c2WeLpN5LHC1KidZ-fKmpA/ms.jpg,Los Angeles,CA,34.0716266,-118.4515429
rL3yi1KUhyyMxVejpPHU3g,California Toss,University of California - Los Angeles,yes,Food Stand,Pizzas,no,2,3.5,Westwood,http://www.yelp.com/biz/california-toss-los-angeles,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Los Angeles,CA,34.073886,-118.438468
rMvexnV_OrTRyiZga_Cggg,Casa Blanca Truck,University of Southern California,yes,Food Stand,Moroccan,no,2,4,South Los Angeles,http://www.yelp.com/biz/casa-blanca-truck-los-angeles,http://s3-media4.ak.yelpcdn.com/bphoto/0yNyRPf59re32ZInQ8PZ6w/ms.jpg,Los Angeles,CA,34.0369158,-118.2779362
rNIKiUYsFlBdQ7xoOmYj4Q,Stan's Doughnuts,University of California - Los Angeles,yes,Patisserie,Bakeries,no,341,4,Westwood,http://www.yelp.com/biz/stans-doughnuts-los-angeles,http://s3-media1.ak.yelpcdn.com/bphoto/6wGGWneC6_0P8RJOKXn3Uw/ms.jpg,Los Angeles,CA,34.0624926,-118.4468387
RnJfohkID4P3symIH7FiYg,Submarina Utc,University of California - San Diego,yes,Delis,American,no,26,3.5,NO VALUE,http://www.yelp.com/biz/submarina-utc-la-jolla,http://s3-media3.ak.yelpcdn.com/bphoto/Hee0L_cIVH5gEmVHH9niBQ/ms.jpg,La Jolla,CA,32.8732257,-117.2176194
Rnq01GgYMLDAe8vGMwH1JA,Ted's Burger 3,University of Southern California,yes,Diners,American,no,8,3.5,South Los Angeles,http://www.yelp.com/biz/teds-burger-3-los-angeles,http://s3-media3.ak.yelpcdn.com/bphoto/zP2JV56WmPp2YGGk09Brcw/ms.jpg,Los Angeles,CA,34.025796,-118.300543
rnwJCd5UoifVCjBM9hYd6A,NoTomatoes Truck,University of California - Los Angeles,yes,Food Stand,Indian,no,92,3.5,Westwood,http://www.yelp.com/biz/notomatoes-truck-los-angeles,http://s3-media1.ak.yelpcdn.com/bphoto/N86vTBJ3qPJXdBqgSMfQTw/ms.jpg,Los Angeles,CA,34.0631451,-118.4367551
roEQNfyPi3jRv3WFFr-f_g,Sprinkles Cupcakes,University of California - San Diego,yes,Patisserie,Bakeries,no,638,3.5,NO VALUE,http://www.yelp.com/biz/sprinkles-cupcakes-la-jolla-2,http://s3-media3.ak.yelpcdn.com/bphoto/8XGgpI_t9zu3j7GgDqbiYA/ms.jpg,La Jolla,CA,32.86914774,-117.2334535
RutmJ_Kvvk9ATKypGKnvsg,Piccomolo Italian Ice Cream,University of California - Los Angeles,no,Patisserie,Dessert,no,23,4.5,Westwood,http://www.yelp.com/biz/piccomolo-italian-ice-cream-los-angeles-2,http://s3-media2.ak.yelpcdn.com/bphoto/ma9PRsWiQoFI7U8jM5oYQQ/ms.jpg,Los Angeles,CA,34.0597473,-118.44466
s_XRMx0Fci7BMFZLV9YsiA,Smoothie King,University of California - Los Angeles,no,Patisserie,Dessert,no,3,3.5,Westwood,http://www.yelp.com/biz/smoothie-king-los-angeles,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Los Angeles,CA,34.0630292,-118.4452471
s3aJzSKD-tBGR0MNGw_sDw,Gordo Taqueria,University of California at Berkeley,yes,Restaurant,Mexican,no,112,3.5,Telegraph Ave,http://www.yelp.com/biz/gordo-taqueria-berkeley-2,http://s3-media3.ak.yelpcdn.com/bphoto/te2O5Y1SjVPdz9u8DiiiFQ/ms.jpg,Berkeley,CA,37.86684,-122.2588129
S4a-MaxMszQjSPSs1JSM2A,Saturn Cafe,University of California at Berkeley,yes,Restaurant,American,yes,436,3.5,Downtown Berkeley,http://www.yelp.com/biz/saturn-cafe-berkeley,http://s3-media2.ak.yelpcdn.com/bphoto/KHCLBgt2CyvP_J_ZBXL8sg/ms.jpg,Berkeley,CA,37.8698214,-122.2659885
sAf2xtvoAzDAyWq3YO11Cg,Olympian Burgers,University of Southern California,yes,Diners,American,no,59,4,South Los Angeles,http://www.yelp.com/biz/olympian-burgers-los-angeles,http://s3-media1.ak.yelpcdn.com/bphoto/qaCrzJhRLZQi2iVqtIL4uw/ms.jpg,Los Angeles,CA,34.030198,-118.291935
SASKKO2nRWJ5UOH2ZiF91g,Isshin Restaurant,University of California - Los Angeles,no,Restaurant,Japanese,no,83,4,Westwood,http://www.yelp.com/biz/isshin-restaurant-los-angeles,http://s3-media2.ak.yelpcdn.com/bphoto/Z0R9duBltCIgmHT1pzTjEw/ms.jpg,Los Angeles,CA,34.0602253,-118.4429168
se_Kx22tdmaGldYSNwXlRg,Cho Vegi House,University of California at Berkeley,no,Restaurant,Thai,yes,36,3.5,Telegraph Ave,http://www.yelp.com/biz/cho-vegi-house-berkeley-3,http://s3-media3.ak.yelpcdn.com/bphoto/YqobD_KEua8lCVsWhYycaA/ms.jpg,Berkeley,CA,37.8663725,-122.2588069
Shhhwc7da_vBoRfCP6AS6g,Dim Sum Truck,University of California at Berkeley,yes,Food Stand,Chinese,no,9,3.5,Telegraph Ave,http://www.yelp.com/biz/dim-sum-truck-berkeley,http://s3-media4.ak.yelpcdn.com/bphoto/6FyrTWXDC3xdfNBKQu678g/ms.jpg,Berkeley,CA,37.8648358,-122.2585863
SjHffWyYrmra21OJN78SJw,Viztango Cafe,University of Southern California,yes,Restaurant,Italian,no,129,3.5,South Los Angeles,http://www.yelp.com/biz/viztango-cafe-los-angeles,http://s3-media1.ak.yelpcdn.com/bphoto/IVdsLg00bUL1seTuc-y9eg/ms.jpg,Los Angeles,CA,34.025006,-118.2780266
SoFh3V7sJKcid6HZBlvqMg,Berrybest,University of California - Los Angeles,no,Patisserie,Dessert,no,3,4,Westwood,http://www.yelp.com/biz/berrybest-los-angeles,http://s3-media2.ak.yelpcdn.com/bphoto/IT0PXorKiz1fmoIAFsV24w/ms.jpg,Los Angeles,CA,34.061286,-118.44646
SPDKXBx7yC3lAOY4fkGN2A,Fatburger,University of California - Los Angeles,yes,Fast Food,American,no,82,3.5,Westwood,http://www.yelp.com/biz/fatburger-los-angeles-3,http://s3-media2.ak.yelpcdn.com/bphoto/MOGzwtKhgTBruuc-xNX1cw/ms.jpg,Los Angeles,CA,34.0600639,-118.4467353
sxIPX4ZAipVl3ZCkkqXqZw,Joshu-Ya Brasserie,University of California at Berkeley,yes,Restaurant,Japanese,no,143,4,Telegraph Ave,http://www.yelp.com/biz/joshu-ya-brasserie-berkeley-3,http://s3-media3.ak.yelpcdn.com/bphoto/YO9VEDg2pGLtHxA4g7hrtQ/ms.jpg,Berkeley,CA,37.8652343,-122.2593812
syTxG8mBUsdhbAIFlvoW1g,Tacos El Gavilan,University of Southern California,yes,Restaurant,Mexican,no,30,4,South Los Angeles,http://www.yelp.com/biz/tacos-el-gavilan-los-angeles-2,http://s3-media1.ak.yelpcdn.com/bphoto/t8pNlvKythSlks0YsLZ_YQ/ms.jpg,Los Angeles,CA,34.0040976,-118.2783265
SZHJsSqbIpURYPXtKkrF7g,Bibigo,University of California - Los Angeles,yes,Restaurant,AsianFusion,no,242,3.5,Westwood,http://www.yelp.com/biz/bibigo-los-angeles-2,http://s3-media3.ak.yelpcdn.com/bphoto/jOPBvuCXxxCAkIqdpoGteQ/ms.jpg,Los Angeles,CA,34.0607789,-118.446024
t-xuA4yR02gud00gTS2iyw,Chinese Express,University of California at Berkeley,yes,Restaurant,Chinese,no,67,3.5,Telegraph Ave,http://www.yelp.com/biz/chinese-express-berkeley,http://s3-media4.ak.yelpcdn.com/bphoto/osAqCjzpUzVx-3u0HxaHxQ/ms.jpg,Berkeley,CA,37.8667955,-122.2592389
T40IJ9g-DSHz8_7QzjfuDw,Numero Uno,University of Southern California,no,Restaurant,Italian,no,3,3.5,South Los Angeles,http://www.yelp.com/biz/numero-uno-los-angeles-3,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Los Angeles,CA,34.0288307,-118.2753889
T42uQiJVIUqTTWMmkQtDiQ,Mongols,University of California - Los Angeles,yes,Restaurant,Mongolian,no,152,3.5,Westwood,http://www.yelp.com/biz/mongols-los-angeles,http://s3-media1.ak.yelpcdn.com/bphoto/zLoSBpSSJcNK0E-21Q6U4Q/ms.jpg,Los Angeles,CA,34.06086,-118.4470257
t4F4M9V0l0SMCorcLQ686A,Camarena Taco Truck,University of Southern California,yes,Food Stand,Mexican,no,4,4,South Los Angeles,http://www.yelp.com/biz/numero-uno-los-angeles-3,http://s3-media1.ak.yelpcdn.com/bphoto/YJiRLmetXF68Z2T-VOwQ7g/ms.jpg,Los Angeles,CA,34.0371276,-118.2781076
t5Ggj9n2ApvawNWTXvwMAg,D'Amores Pizza,University of California - Los Angeles,yes,Restaurant,Italian,no,94,3.5,Westwood,http://www.yelp.com/biz/d-amores-pizza-los-angeles,http://s3-media1.ak.yelpcdn.com/bphoto/g47UombZNzvUhzcZ77n_yw/ms.jpg,Los Angeles,CA,34.0600538,-118.4448085
T8sFo4cijoGTDfKg8tA_9Q,Fins Mexican Eatery,University of California - San Diego,yes,Restaurant,Mexican,no,149,3.5,La Jolla,http://www.yelp.com/biz/fins-mexican-eatery-la-jolla,http://s3-media2.ak.yelpcdn.com/bphoto/mCJjJs8JwhTsLiS0c-lmfA/ms.jpg,La Jolla,CA,32.8665329,-117.231649
Tb_9t-cp0wI3I52VMOFpmQ,Jessica Cooks for You!,University of California - Los Angeles,yes,Restaurant,American,no,4,5,Westwood,http://www.yelp.com/biz/jessica-cooks-for-you-los-angeles,http://s3-media4.ak.yelpcdn.com/bphoto/glOrbFmPusTFy1Lftvu4hQ/ms.jpg,Los Angeles,CA,34.0666124,-118.4531653
tfbmyGprVncb-beCmsxVeQ,Esperanza Bakery,University of Southern California,yes,Patiserrie,Bakeries,no,2,4,University of Southern California,http://www.yelp.com/biz/esperanza-bakery-los-angeles,http://s3-media1.ak.yelpcdn.com/bphoto/olBViSmsldkQG3Rwyo5H4Q/ms.jpg,Los Angeles,CA,34.0262416,-118.2717585
tIIof6-zqlgxImFNDEIj9g,In-N-Out Burger,University of California - Los Angeles,yes,Fast Food,American,no,233,4,Westwood,http://www.yelp.com/biz/in-n-out-burger-los-angeles-5,http://s3-media1.ak.yelpcdn.com/bphoto/RPyAuZOlkRo_JPWfvUDQSA/ms.jpg,Los Angeles,CA,34.063106,-118.448158
tJ14WtRSonB4Xo7Nl5YOEA,The Che Cafe Collective,University of California - San Diego,yes,Cafes,Beverages,no,51,4,NO VALUE,http://www.yelp.com/biz/the-che-cafe-collective-la-jolla,http://s3-media1.ak.yelpcdn.com/bphoto/mWwKG4H_jamObBCFvXCDnQ/ms.jpg,La Jolla,CA,32.8761,-117.2318
TjcXl6QUJxb5kdcpTzYUOw,The Coffee Bean & Tea Leaf,University of California - Los Angeles,yes,Cafes,Beverages,no,27,3.5,Westwood,http://www.yelp.com/biz/the-coffee-bean-and-tea-leaf-los-angeles-29,http://s3-media2.ak.yelpcdn.com/bphoto/GBi4pkC5FJGGponOz8mkiw/ms.jpg,Los Angeles,CA,34.0629402,-118.4452647
TKDgFp9C7kf_pSHrQHZW_Q,Indian Flavors Express,University of California at Berkeley,yes,Restaurant,Indian,no,101,3.5,Telegraph Ave,http://www.yelp.com/biz/indian-flavors-express-berkeley,http://s3-media4.ak.yelpcdn.com/bphoto/boV5vAlj-4ONrO5DiJkApw/ms.jpg,Berkeley,CA,37.8688198,-122.2582208
TkZQZWDnVW0axfaqfqGfUQ,Ho Sai Kai Chinese Restaurant,University of Southern California,yes,Restaurant,Chinese,no,11,4,University of Southern California,http://www.yelp.com/biz/ho-sai-kai-chinese-restaurant-los-angeles,http://s3-media4.ak.yelpcdn.com/bphoto/aJGlsZ580_sv55jlXONGdg/ms.jpg,Los Angeles,CA,34.0202678,-118.3088852
TPPk2Ii3rMcBN7qylcq9gw,Chipotle Mexican Grill,University of Southern California,yes,Diners,Mexican,no,106,3.5,South Los Angeles,http://www.yelp.com/biz/chipotle-mexican-grill-los-angeles-3,http://s3-media3.ak.yelpcdn.com/bphoto/0idtP2ZW-Hv5HvAfQ4ZG0g/ms.jpg,Los Angeles,CA,34.0169494,-118.2825873
TUIDRJ_rUkdmYPSRAAEsPg,I.B.'s Hoagies,University of California at Berkeley,yes,Delis,American,no,285,4,Telegraph Ave,http://www.yelp.com/biz/i-b-s-hoagies-berkeley,http://s3-media3.ak.yelpcdn.com/bphoto/sPQYaO5Cda8EzXe-nQejng/ms.jpg,Berkeley,CA,37.868041,-122.25849
TvU8F_N2QM2KebTDtubLxA,Mello Jello,University of Southern California,no,Restaurant,AsianFusion,no,3,4.5,South Los Angeles,http://www.yelp.com/biz/mello-jello-los-angeles-2,http://s3-media2.ak.yelpcdn.com/bphoto/HhDm09PE_kTUPRFFN3TeDw/ms.jpg,Los Angeles,CA,34.0297495,-118.2748856
txH67ORSC9m_3F_ZVqoXwg,Fat Sal's Deli,University of California - Los Angeles,yes,Delis,American,no,284,4,Westwood,http://www.yelp.com/biz/fat-sals-deli-los-angeles-2,http://s3-media2.ak.yelpcdn.com/bphoto/U4XPFwXVFPLRPDM5WAX5UQ/ms.jpg,Los Angeles,CA,34.0624939,-118.4481665
TyDle42ASOpi5Z7Sc3l28g,Covel Commons Residential Restaurant,University of California - Los Angeles,yes,Restaurant,American,no,19,4,Westwood,http://www.yelp.com/biz/covel-commons-residential-restaurant-los-angeles,http://s3-media4.ak.yelpcdn.com/bphoto/MyCL8XJFcO7ltavMxruKtg/ms.jpg,Los Angeles,CA,34.0731552,-118.4491396
u_jjPmaEnZ4fY881NtLz2A,Tutti Frutti Frozen Yogurt,University of Southern California,yes,Patiserrie,Dessert,no,10,4.5,South Los Angeles,http://www.yelp.com/biz/tutti-frutti-frozen-yogurt-los-angeles-6,http://s3-media3.ak.yelpcdn.com/bphoto/IyUldVqjl7s-vePTSvH8rQ/ms.jpg,Los Angeles,CA,34.0246357,-118.2782891
U10a1VemlAM_apnso5WWnw,21 Choices,University of Southern California,yes,Patiserrie,Dessert,no,67,3.5,South Los Angeles,http://www.yelp.com/biz/21-choices-los-angeles,http://s3-media3.ak.yelpcdn.com/bphoto/Ij465gW8qH0VFW4KMHexxA/ms.jpg,Los Angeles,CA,34.0260398,-118.2839965
UcYOqUelwmNsftrYTQdh0g,Papamingo,University of California at Berkeley,no,Patiserrie,Dessert,no,171,3.5,Telegraph Ave,http://www.yelp.com/biz/papamingo-berkeley,http://s3-media2.ak.yelpcdn.com/bphoto/xBdPb6Pi6mevO8WGSUAnsA/ms.jpg,Berkeley,CA,37.8669727,-122.2582495
Ugm1SowBaUq-M6nfg2LlRw,King Pin Donuts,University of California at Berkeley,yes,Patiserrie,Dessert,no,313,4,Telegraph Ave,http://www.yelp.com/biz/king-pin-donuts-berkeley,http://s3-media4.ak.yelpcdn.com/bphoto/YSTs93N70oCor9avYO6log/ms.jpg,Berkeley,CA,37.8680781,-122.2579783
UgNu8Et1hIoB2u3S9-ILTw,La Galleto,University of California - Los Angeles,yes,Patiserrie,Bakeries,no,2,3.5,Westwood,http://www.yelp.com/biz/la-galleto-los-angeles,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Los Angeles,CA,34.0625255,-118.4481792
ul5widkgrKM8szxQW1ZcjA,Taste Of The Islands,University of Southern California,yes,Restaurant,Caribbean,yes,7,4.5,South Los Angeles,http://www.yelp.com/biz/taste-of-the-islands-los-angeles,http://s3-media2.ak.yelpcdn.com/bphoto/r0JzOnGHbV-Fd8EkOwbY4w/ms.jpg,Los Angeles,CA,34.0268369,-118.2839819
uNumMb-5qNiVzW6T32Uiag,Fat Slice Pizza,University of California at Berkeley,yes,Restaurant,Pizza,no,392,3.5,Telegraph Ave,http://www.yelp.com/biz/fat-slice-pizza-berkeley,http://s3-media3.ak.yelpcdn.com/bphoto/yQ8xu8Cx4KM3SEfePEad_A/ms.jpg,Berkeley,CA,37.867209,-122.258583
UOG1vQhRWxiM_cQYvNAjrw,Caf\u00e9 1919,University of California - Los Angeles,yes,Restaurant,Italian,no,18,4,Westwood,http://www.yelp.com/biz/caf%C3%A9-1919-los-angeles-2,http://s3-media1.ak.yelpcdn.com/bphoto/c-NbzCEokdN-1dRKx0wqpw/ms.jpg,Los Angeles,CA,34.074064,-118.4496233
usUxs24AHdtv3hYz7iH-SQ,Club Med,University of California - San Diego,yes,Restaurant,Breakfast,no,8,3.5,NO VALUE,http://www.yelp.com/biz/club-med-la-jolla,http://s3-media3.ak.yelpcdn.com/bphoto/L2Y8mkuR72GVUOuGoD8kgQ/ms.jpg,La Jolla,CA,32.8755552,-117.2360166
UWugDDs9_Cyj2ukZe3P9HA,Bodega Wine Bar,University of California - San Diego,yes,Restaurant,American,no,2,4,NO VALUE,http://www.yelp.com/biz/bodega-wine-bar-san-diego,http://s3-media1.ak.yelpcdn.com/bphoto/1JctH9w0LWbf_P4gkyAIRQ/ms.jpg,San Diego,CA,32.8833688,-117.2442543
UwyznRkm8F04Dwl7LVwivg,Jean P's Soul Food Express,University of Southern California,no,Restaurant,Southern,no,17,4,South Los Angeles,http://www.yelp.com/biz/jean-ps-soul-food-express-los-angeles-2,http://s3-media1.ak.yelpcdn.com/bphoto/lqGb2XVOsOnFYxG3-usYMg/ms.jpg,Los Angeles,CA,34.0297119,-118.2749104
UX5bCQXsSUDdS3G-3WokTg,Oaxacalifornia Juice Bar and Ice Cream,University of Southern California,yes,Patiserrie,Dessert,no,17,4,South Los Angeles,http://www.yelp.com/biz/oaxacalifornia-juice-bar-and-ice-cream-los-angeles,http://s3-media3.ak.yelpcdn.com/bphoto/IzsMSmTFZoyXMRxTZvNang/ms.jpg,Los Angeles,CA,34.017376,-118.278063
UZw6rwsRE2mXp0dfHLtHRg,Suya African Caribbean Grill,University of California at Berkeley,yes,Restaurant,Caribbean,no,27,3.5,Downtown Berkeley,http://www.yelp.com/biz/suya-african-caribbean-grill-berkeley,http://s3-media3.ak.yelpcdn.com/bphoto/AefhKEvZnL4Ehx1qo3ImdQ/ms.jpg,Berkeley,CA,37.8703067,-122.2658652
V_la4sa6CKvEUO4ZGo939w,Snackropolis,University of California - San Diego,yes,Diners,American,no,2,4,La Jolla Shores,http://www.yelp.com/biz/snackropolis-la-jolla,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,La Jolla,CA,32.8657641,-117.2530515
v5Eiu0WaNhDXBSNsAdjmUw,California Pizza Kitchen,University of Southern California,yes,Restaurant,Pizza,no,9,3.5,South Los Angeles,http://www.yelp.com/biz/california-pizza-kitchen-los-angeles-12,http://s3-media2.ak.yelpcdn.com/bphoto/zi4jJ_fok7HtlpSGjo_DmQ/ms.jpg,Los Angeles,CA,34.02042145,-118.2862222
v6rCXXeFdHX32Glbrs7o5g,Cups Coffee,University of California - San Diego,yes,Cafes,Beverages,no,2,5,La Jolla Shores,http://www.yelp.com/biz/cups-coffee-san-diego,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,San Diego,CA,32.8689818,-117.2525697
v7CpSe0yu-ki5a8CPPDgWg,Rincon Hondureno,University of Southern California,yes,Restaurant,Mexican,no,4,4,South Los Angeles,http://www.yelp.com/biz/rincon-hondureno-los-angeles,http://s3-media1.ak.yelpcdn.com/bphoto/M8I_s94wJ9-6pY_TQCnAbQ/ms.jpg,Los Angeles,CA,34.0325439,-118.2990521
VBTYsHmf0uPACFlCuV4l9g,Mario's La Fiesta Mexican Restaurant,University of California at Berkeley,no,Restaurant,Mexican,no,198,3.5,Telegraph Ave,http://www.yelp.com/biz/marios-la-fiesta-mexican-restaurant-berkeley,http://s3-media1.ak.yelpcdn.com/bphoto/7HBIV-2_mnPPPKyXfQJd-Q/ms.jpg,Berkeley,CA,37.865823,-122.258032
vC_6J_nGyf4J8xt-Vu6Shw,Chichen Itza Restaurant,University of Southern California,yes,Restaurant,Mexican,no,284,4.5,South Los Angeles,http://www.yelp.com/biz/chichen-itza-restaurant-los-angeles,http://s3-media4.ak.yelpcdn.com/bphoto/IuBHQVOTHfo2_7REPPHdLQ/ms.jpg,Los Angeles,CA,34.017376,-118.278063
VdTPn_EwEquKWMpm9r-rRQ,Madeleine Coffee & Pastrie,University of Southern California,no,Cafes,Beverages,no,23,4,South Los Angeles,http://www.yelp.com/biz/madeleine-coffee-and-pastrie-los-angeles,http://s3-media1.ak.yelpcdn.com/bphoto/DNKacat_xdB8rHQ-0s8fug/ms.jpg,Los Angeles,CA,34.0247372,-118.2782233
